_id,id,device_id,record_oid,count_start_date,count_end_date,average_daily_car_traffic,neighborhood_size ,counter_number,counter_type,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
1,1011743669,85,1445865260,4/18/19,4/26/19,4949,0.255,6,StatTrak,25,,29,77,34,37,-7996777201,4045573295,Polish Hill,7,6,42003060500,6,6,2,2/6/24
2,1026101993,140,1121444006,1/24/19,,,,,Intersection Study,,,,,,,-799522495,4046615676,Central Lawrenceville,7,9,42003090200,2,9,2,3/6/24
3,1032382575,11,1539892711,8/28/18,9/4/18,,,,,35,63,33,28,38,41,-8007646887,4046071714,Windgap,2,28,42003563000,5,28,6,1/16/24
4,103627606,9,734195080,7/17/18,8/1/18,2741,,,StatTrak,25,61,28,70,31,33,-7991433497,4043737854,Squirrel Hill South,5,14,42003140800,3,14,4,2/18/24
5,1039546167,144,,,,,,,,,,,,,,-8001921111,4049079426,Perry North,1,26,42003260200,1,26,1,1/15/24
6,1041392556,76,571347213,3/22/19,3/29/19,1046,0.259,2,StatTrak,25,,19,2,21,23,-8001423363,4045810596,Central Northside,6,25,42003250300,1,25,1,1/21/24
7,1047444948,17,1366891391,10/18/18,,,,,,25,,,,,,-7994227261,4044628196,Squirrel Hill North,8,14,42003140100,3,14,4,2/26/24
8,1053645660,87,804208919,4/18/19,4/26/19,3015,,4,StatTrak,25,,26,58,31,34,-7996459248,4045711932,Polish Hill,7,6,42003060500,6,6,2,2/6/24
9,1073440033,156,1736165318,7/28/17,,,,,Intersection Study,,,,,,,-7996038525,4043898325,Central Oakland,3,4,42003040500,3,4,4,2/14/24
10,1092885547,143,,,,,,,,,,,,,,-799209585,40467294,East Liberty,9,11,42003111300,2,11,5,3/8/24
11,1102260248,8,1088318339,7/16/18,8/1/18,5592,2.67,,StatTrak,25,61,28,70,31,33,-7991192545,4043562019,Squirrel Hill South,5,14,42003140800,3,14,4,2/21/24
12,1110382210,47,106669941,5/31/19,6/6/19,,,,StatTrak,25,,29,75,35,38,-7992737032,4042372166,Greenfield,5,15,42003151700,3,15,4,2/15/24
13,1117908706,130,1566356938,6/4/18,,,,,Intersection Study,,,,,,,-7998551968,4043679226,Bluff,6,1,42003010300,3,1,2,2/4/24
14,1130122192,65,1341476139,2/5/19,2/14/19,1455,0.327,,StatTrak,25,,22,23,28,32,-7997955406,4043648236,Bluff,6,1,42003010300,3,1,2,2/1/24
15,115502120,176,1215642552,8/9/19,8/19/19,11500,0.754,5,StatTrak,25,,37,98,41,44,-8005240317,4045192582,Crafton Heights,2,20,42003281400,5,20,6,1/16/24
16,1155507145,72,1207664438,2/14/19,2/21/19,6793,0.921,1,StatTrak,25,,26,,30,,-7994374469,4045270903,Shadyside,8,7,42003070900,2,7,4,3/22/24
17,1156129090,159,,,,,,,,,,,,,,-799576785,4048178403,Upper Lawrenceville,7,10,42003101100,2,10,2,3/5/24
18,1158858353,36,1131386560,6/25/18,7/12/18,7688,1.163,,StatTrak,25,64,32,92,35,38,-7992331564,4047816127,Highland Park,7,11,42003110200,2,11,5,3/9/24
19,1159852619,118,1024536191,7/9/19,7/12/19,10350,0.303,12,StatTrak,25,,29,78,34,39,-8000193738,404478489,North Shore,1,22,42003563200,6,22,1,1/20/24
20,1181317290,50,547249635,12/28/18,1/10/19,9435,0.581,11,StatTrak,25,,29,79,34,38,-799269309,4047015706,East Liberty,9,11,42003111300,2,11,5,3/8/24
21,1195830691,23,914441129,12/15/19,12/24/19,3860,,2,StatTrak,25,,24,36,29,34,-8000955705,404331717,Mount Washington,2,19,42003190300,5,19,3,4/27/24
22,1204353487,173,604849055,8/9/19,8/19/19,9709,,6,StatTrak,25,,29,79,34,36,-8001587315,4040252762,Brookline,4,19,42003191700,5,19,6,4/26/24
23,1212908013,18,2140917772,9/21/18,10/17/18,,,,Tube,25,,,,,,-8000338687,4043293366,South Shore,3,19,42003980700,5,19,3,4/2/24
24,1234866649,20,1631657541,9/21/18,10/17/18,,,,Tube,,,,,,,-7999510153,4043430152,Bluff,6,1,42003010300,6,1,2,2/4/24
25,1241651644,137,1512307687,6/6/19,,,,,Intersection Study,,,,,,,-7996011943,4044050937,Central Oakland,3,4,42003040500,3,4,4,2/14/24
26,1263398518,202,1714736490,11/4/19,11/13/19,613,,2,StatTrak,25,,22,25,27,31,-7992741399,4045231499,Shadyside,8,7,42003070600,2,7,4,3/11/24
27,1292111053,179,1825903801,8/30/19,9/9/19,1163,,15,StatTrak,25,,25,44,29,32,-7992397388,4046907146,East Liberty,9,11,42003111300,2,11,5,3/8/24
28,129975666,169,403208613,8/1/19,8/9/19,7686,1.139,3,StatTrak,25,,30,89,35,38,-8001423835,4042978268,Mount Washington,2,19,42003190300,5,19,3,4/1/24
29,1317856239,128,1699722646,11/6/18,,,,,Intersection Study,,,,,,,-7996180918,4042477666,South Side Flats,3,16,42003160900,3,16,3,4/24/24
30,1329900951,133,1615505629,7/18/19,7/26/19,3239,1.22,2,StatTrak,25,,27,62,32,35,-7991652254,4044443596,Squirrel Hill North,8,14,42003140300,3,14,4,2/18/24
31,133236567,73,1441617442,2/14/19,2/22/19,1120,,CHECK # AND DIRECTION,StatTrak,25,,21,17,26,29,-7994571343,4045549902,Bloomfield,7,8,42003080400,2,8,5,2/23/24
32,1345473232,26,1550819866,11/14/18,11/20/18,9546,,,StatTrak,25,59,28,68,31,34,-7992779001,4043688097,Squirrel Hill South,5,14,42003141300,3,14,4,2/21/24
33,1354544991,114,87062605,6/28/19,7/5/19,6984,0.702,14,StatTrak,35,,29,14,35,39,-799406417,404563822,Bloomfield,7,8,42003080400,2,8,5,3/1/24
34,137432711,61,1367249115,3/7/19,3/14/19,8512,0.445,1,StatTrak,25,30,26,52,31,35,-7991439666,4046062267,Larimer,9,12,42003120800,2,12,5,3/10/24
35,1400409572,106,677650724,6/13/19,6/20/19,4448,0.1,,StatTrak,25,,28,68,25,,-7993595346,4046180227,Friendship,9,8,42003080700,2,8,5,3/23/24
36,1408140580,212,1715086530,6/11/19,6/11/19,,,Tuesday SPC video data,,,,,,,,-7995862613,4043102343,South Oakland,3,4,42003980800,3,4,4,2/2/24
37,1412494129,116,159026183,7/5/19,7/11/19,3150,,6,StatTrak,,,34,95,39,43,-7993727559,4043804843,Squirrel Hill North,5,14,42003140100,3,14,4,2/8/24
38,1419330323,92,1083199734,4/26/19,5/4/19,12335,1.004,,StatTrak,25,,31,87,36,39,-7989620029,404444114,Point Breeze,9,14,42003140600,3,14,4,3/14/24
39,1432224337,150,2014846017,,,,,,StatTrak,25,,,,,,-8004879395,4043135694,Westwood,2,28,42003563100,5,28,6,1/18/24
40,144345379,192,383914084,10/14/19,10/21/19,16729,0.192,3,StatTrak,25,,30,86,35,38,-7989667461,4043681375,Regent Square,5,14,42003141000,3,14,4,2/16/24
41,1463283046,115,665615900,6/28/19,7/5/19,8911,,15,StatTrak,,,27,,33,37,-7993166971,4045903735,East Liberty,7,8,42003111500,2,8,5,3/23/24
42,1466903750,3,2009670262,9/13/18,9/20/18,8407,,,StatTrak,25,77,32,97,36,39,-7992899198,404693202,East Liberty,9,11,42003111300,2,11,5,3/4/24
43,1468921509,132,1461288045,7/18/19,7/26/19,1265,,1,StatTrak,25,,26,56,30,33,-7991650754,4044561249,Point Breeze,8,14,42003140400,3,14,4,2/17/24
44,1503643471,55,1966066309,1/14/19,1/22/19,1786,0.963,14,StatTrak,25,,18,4,21,24,-7996050515,4047360042,Central Lawrenceville,7,9,42003090100,2,9,2,3/3/24
45,1530178639,68,676704832,2/5/19,2/14/19,,,,StatTrak,,,,,,,-7998086521,4043660264,Bluff,6,1,42003010300,3,1,2,2/1/24
46,1533566550,196,1464305119,10/21/19,10/29/19,527,0.302,4,StatTrak,25,,23,25,27,30,-7998968666,4041812496,Knoxville,3,30,42003300100,5,30,3,4/6/24
47,1566340195,24,1549751514,10/21/19,10/28/19,3776,0.281,5,StatTrak,25,,25,47,30,33,-799493951,4044112373,Central Oakland,5,4,42003040600,3,4,4,2/8/24
48,1568219989,31,2101724073,1/14/19,1/22/19,6443,,,StatTrak,25,,25,47,32,36,-7998064703,4045349731,Strip District,7,2,42003020300,6,2,2,2/25/24
49,1581659026,7,371546790,10/19/18,11/8/18,,,,Tube,,,,,,,-7995142134,4044225095,Central Oakland,3,4,42003982200,3,4,4,2/8/24
50,1591011355,165,,,,,,,,,,,,,,-7996331914,4043938259,West Oakland,6,4,42003040200,3,4,4,2/14/24
51,1592268905,111,242374247,6/28/19,7/5/19,6984,,11,StatTrak,35,,30,14,35,39,-7995007952,4045402427,Bloomfield,7,8,42003080400,2,8,5,2/23/24
52,1598018270,71,1717624375,2/14/19,2/18/19,,,2,StatTrak,,,,,,,-7994205758,4045106804,Shadyside,8,7,42003070900,2,7,4,3/22/24
53,1604686268,37,1114667008,6/5/18,6/21/18,976,,,StatTrak,25,,272,,287,298,-7992591208,4042485559,Greenfield,5,15,42003151700,3,15,4,2/15/24
54,1628179164,14,747494082,6/5/18,6/21/18,,,,,,,,,,,-7992618443,4042126864,Greenfield,5,15,42003151700,3,15,4,2/15/24
55,1635967977,12,1029658716,12/12/19,12/24/19,1080,,16,StatTrak,25,,24,39,31,36,-799155315,40471092,Highland Park,7,11,42003110600,2,11,5,3/9/24
56,1658184502,60,1739195149,3/8/19,3/14/19,1218,,5,StatTrak,25,,19,10,24,27,-7991288926,4046107368,Larimer,9,12,42003120800,2,12,5,3/12/24
57,1667548447,62,1755445415,3/7/19,3/14/19,728,,2,StatTrak,25,,22,22,27,29,-7991397019,4046013288,Larimer,9,12,42003120800,2,12,5,3/10/24
58,1669534769,10,1211728398,8/20/18,9/4/18,2931,0.415,,StatTrak,25,73,32,44,36,40,-8007339585,4045766034,Windgap,2,28,42003563000,5,28,6,1/16/24
